DATAFLOW,LAST UPDATE,freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Spain,2020,21.22,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Spain,2021,20.55,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Spain,2022,21.896,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Spain,2023,24.852,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,European Union - 27 countries (from 2020),2019,19.887,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,European Union - 27 countries (from 2020),2020,22.038,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,European Union - 27 countries (from 2020),2021,21.894,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,European Union - 27 countries (from 2020),2022,23.058,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,European Union - 27 countries (from 2020),2023,24.554,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Finland,2019,42.807,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Finland,2020,43.939,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Finland,2021,42.819,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Finland,2022,47.740,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Finland,2023,50.750,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,France,2019,17.174,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,France,2020,19.109,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,France,2021,19.316,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,France,2022,20.445,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,France,2023,22.283,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Georgia,2021,18.292,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Georgia,2022,18.141,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Georgia,2023,19.850,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Croatia,2019,28.466,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Croatia,2020,31.023,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Croatia,2021,31.285,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Croatia,2022,28.088,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Croatia,2023,28.051,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Hungary,2019,12.634,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Hungary,2020,13.85,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Hungary,2021,14.134,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Hungary,2022,15.128,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Hungary,2023,17.117,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Ireland,2019,11.979,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Ireland,2020,16.16,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Ireland,2021,12.996,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Ireland,2022,13.068,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Ireland,2023,15.253,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Iceland,2019,78.612,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Iceland,2020,83.725,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Iceland,2021,80.185,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Iceland,2022,79.475,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Italy,2019,18.181,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Italy,2020,20.359,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Italy,2021,18.883,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Italy,2022,19.131,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Italy,2023,19.594,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Lithuania,2019,25.474,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Lithuania,2020,26.773,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Lithuania,2021,28.166,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Lithuania,2022,29.599,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Lithuania,2023,31.926,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Luxembourg,2019,7.046,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Luxembourg,2020,11.699,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Luxembourg,2021,11.726,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Luxembourg,2022,14.262,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Luxembourg,2023,14.355,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Latvia,2019,40.929,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Latvia,2020,42.132,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Latvia,2021,42.096,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Latvia,2022,43.720,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Latvia,2023,43.223,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Moldova,2019,23.843,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Moldova,2020,25.057,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Moldova,2021,22.203,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Moldova,2022,21.538,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Moldova,2023,22.995,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Montenegro,2019,37.722,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Montenegro,2020,43.77,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Montenegro,2021,39.891,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Montenegro,2022,41.064,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Montenegro,2023,40.883,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,North Macedonia,2019,17.485,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,North Macedonia,2020,19.222,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,North Macedonia,2021,17.800,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,North Macedonia,2022,19.213,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,North Macedonia,2023,20.214,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Malta,2019,8.23,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Malta,2020,10.714,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Malta,2021,12.631,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Malta,2022,13.969,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Malta,2023,15.077,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Netherlands,2019,8.886,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Netherlands,2020,13.999,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Netherlands,2021,13.116,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Netherlands,2022,15.134,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Netherlands,2023,17.420,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Norway,2019,74.406,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Norway,2020,77.358,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Norway,2021,74.026,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Norway,2022,75.875,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Norway,2023,75.613,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Poland,2019,15.377,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Poland,2020,16.102,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Poland,2021,15.604,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Poland,2022,16.629,,
